Município;PIB em 2018
Joinville;30 785 682
Itajaí;25 413 431
Florianópolis;21 059 561
Blumenau;16 958 783
São José;10 607 482
Chapecó;9 602 336
Jaraguá do Sul;8 995 685
Criciúma;7 684 445
Brusque;6 375 501
Balneário Camboriú;5 549 599
Palhoça;5 489 675
Lages;5 103 843
Araquari;4 151 191
São Francisco do Sul;4 142 714
Navegantes;3 820 583
Tubarão;3 741 552
Concórdia;3 349 381
Caçador;3 298 867
São Bento do Sul;3 198 188
Gaspar;2 977 369
Rio do Sul;2 719 645
Indaial;2 589 757
Videira;2 427 864
Içara;2 336 747
Pomerode;2 026 616
Mafra;1 960 222
Campos Novos;1 948 610
Joaçaba;1 929 063
Itapema;1.872.016,00
Biguaçu;1 864 510
Timbó;1 858 869
Araranguá;1 833 576
Imbituba;1 773 195
Xanxerê;1 703 710
Canoinhas;1 702 046
Guaramirim;1 695 622
Tijucas;1 539 749
São Miguel do Oeste;1 521 972
Camboriú;1 501 132
Curitibanos;1 425 005
Barra Velha;1 393 275
Maravilha;1 288 638
Porto Belo;1 177 910
Braço do Norte;1 174 452
Rio Negrinho;1 158 011
Pinhalzinho;1 122 662
Três Barras;1 113 577
Garuva;1 071 260
Xaxim;947 824
Fraiburgo;907 522
Orleans;907 251
Guabiruba;902 535
São João Batista;860 226
São Joaquim;858 520
Laguna;841 697
São Lourenço do Oeste;839 373
Balneário Piçarras;839 048
Capinzal;838 007
Ituporanga;831 606
Forquilhinha;813 291
Seara;812 692
Urussanga;794 242
Itapiranga;753 900
Santo Amaro da Imperatriz;753 610
Sombrio;751 251
Itapoá;714 535
Nova Veneza;706 798
Cocal do Sul;705 872
Itaiópolis;704 217
Porto União;702 997
Otacílio Costa;695 650
Penha;673 705
Morro da Fumaça;635 361
Capivari de Baixo;429 616
São Ludgero;582 845
Correia Pinto;616 476
Abelardo Luz;606 372
Piratuba;653 188
Presidente Getúlio;625 705
Ilhota;618 625
Treze Tílias;614 749
Bombinhas;598 278
Massaranduba;588 956
Mondaí;581 186
Antônio Carlos;577 384
Palmitos;574 725
Taió;573 530
Luiz Alves;570 947
Corupá;544 568
Papanduva;543 649
Garopaba;534 078
Nova Trento;523 514
Pouso Redondo;520 561
Cunha Porã;519 410
Turvo;518 005
Schroeder;478 756
Jaguaruna;473 323
Siderópolis;457 695
Campo Alegre;456 415
Faxinal dos Guedes;434 654
Herval d`Oeste;430 280
Ibirama;421 544
Santa Cecília;419 251
Apiúna;414 857
Tangará;411 908
Dionísio Cerqueira;400 407
Catanduvas;393 217
São José do Cedro;389 368
Vargem Bonita;384 140
Quilombo;347 490
São Carlos;340 011
Ipumirim;313 369
Rio dos Cedros;310 212
Irineópolis;299 263
Rodeio;273 836
Lebon Régis;263 245
Bom Retiro;254 168
Lauro Müller;253 291
Saudades;250 776
Jacinto Machado;247 730
Agrolândia;243 159
Água Doce;241 229
Sangão;239 991
São Domingos;239 502
Botuverá;237 666
Vidal Ramos;237 159
Rio Fortuna;234 824
Trombudo Central;232 352
Coronel Freitas;230 704
Lontras;229 650
Guaraciaba;227 513
São José do Cerrito;224 631
Campo Erê;223 506
Urubici;216 801
Governador Celso Ramos;211 698
Benedito Novo;211 088
Iporã do Oeste;210 264
Laurentino;208 802
Ponte Serrada;204 793
Itá;201 670
Braço do Trombudo;197 268
Descanso;195 704
Cordilheira Alta;193 084
Irani;192 835
Santa Terezinha;192 170
Guatambu;188 923
Caibi;188 134
Palma Sola;186 872
Luzerna;186 576
Alfredo Wagner;185 230
Grão-Pará;183 883
Paulo Lopes;183 387
Rio do Oeste;183 183
Canelinha;181 019
São João do Oeste;180 029
Major Vieira;178 852
Treviso;176 389
Armazém;175 958
Salete;173 667
Meleiro;172 003
Ipuaçu;169 460
Monte Castelo;167 157
Imaruí;164 478
Balneário Rincão;164 196
Ascurra;158 162
Campo Belo do Sul;157 862
Rio do Campo;157 127
Petrolândia;155 536
Timbó Grande;155 328
Morro Grande;153 479
Agronômica;147 142
Rio das Antas;146 949
Gravatal;146 727
Salto Veloso;144 514
Aurora;142 700
Balneário Barra do Sul;142 111
Balneário Arroio do Silva;141 030
Bela Vista do Toldo;140 818
Praia Grande;139 724
Maracajá;138 286
Águas Mornas;136 880
Lindóia do Sul;136 802
Xavantina;136 698
Santa Rosa do Sul;136 637
Monte Carlo;134 169
Nova Erechim;130 592
São João do Sul;129 987
Ouro;125 188
Guarujá do Sul;124 559
Jaborá;122 874
Treze de Maio;122 432
Pinheiro Preto;121 781
Anchieta;119 359
Imbuia;119 010
São João do Itaperiú;117 097
Pedras Grandes;114 938
Angelina;113 337
Nova Itaberaba;110 890
Balneário Gaivota;110 649
Ponte Alta;106 632
Palmeira;106 406
Witmarsum;105 059
Passos Maia;103 980
São Cristovão do Sul;102 894
Vargem;102 738
Caxambu do Sul;101 556
Erval Velho;100 281
Vitor Meireles;100 047
Riqueza;99 828
Timbé do Sul;99 571
Anita Garibaldi;99 494
Tunápolis;98 349
Iomerê;97 636
Águas de Chapecó;95 559
José Boiteux;94 266
Atalanta;94 128
Dona Emma;93 793
Passo de Torres;93 052
Vargeão;92 621
Arabutã;92 415
Iraceminha;91 314
Rancho Queimado;90 243
Modelo;88 172
Bom Jardim da Serra;85 630
Paraíso;84 368
Leoberto Leal;83 075
Ibicaré;82 183
Águas Frias;82 111
Serra Alta;80 103
Ponte Alta do Norte;78 911
Romelândia;78 297
Arroio Trinta;75 843
Ouro Verde;75 264
Lacerdópolis;73 855
Ipira;73 726
Doutor Pedrinho;73 503
Peritiba;71 167
Chapadão do Lageado;69 986
Novo Horizonte;68 931
São Martinho;67 877
Capão Alto;67 111
Ermo;64 160
União do Oeste;62 363
Planalto Alegre;61 555
Arvoredo;61 270
Galvão;60 769
Calmon;60 658
Abdon Batista;60 555
São Bonifácio;59 996
Brunópolis;59 917
Bom Jesus;58 664
Formosa do Sul;58 283
Marema;57 959
Bocaina do Sul;57 588
Santa Helena;57 517
Sul Brasil;57 292
Zortéa;57 278
Bom Jesus do Oeste;56 583
Princesa;56 349
Saltinho;55 727
Pescaria Brava;55 693
São Pedro de Alcântara;55 378
Lajeado Grande;54 786
Presidente Nereu;54 426
São Bernardino;54 115
Cerro Negro;52 826
Urupema;52 785
Anitápolis;50 650
Major Gercino;50 027
Santa Terezinha do Progresso;48 577
Entre Rios;47 387
Rio Rufino;47 161
Mirim Doce;46 484
Bandeirante;46 375
Jupiá;45 401
Alto Bela Vista;44 892
Celso Ramos;43 627
Belmonte;43 607
Macieira;43 525
Presidente Castello Branco;43 320
Santa Rosa de Lima;42 289
Frei Rogério;41 736
Painel;40 986
Ibiam;39 235
Tigrinhos;39 229
Coronel Martins;37 546
Matos Costa;34 758
Flor do Sertão;33 357
Cunhataí;32 666
Barra Bonita;32 004
Irati;31 404
Paial;31 083
São Miguel da Boa Vista;30 172
Jardinópolis;30 108
Santiago do Sul;33 849
